,job_link,job_description,job_title
10,https://www.workpac.com/job/project-procurement," Job description About the CompanyWorkPac Group is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, oil and gas and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding career opportunities. Register or apply with us for ongoing access to a wide range of temporary and permanent jobs for all skill levels.About the roleWorkPac is seeking a Project Procurement Specialist covering projects in Weipa and Yarwun for a 12 month contract based at our clients Brisbane office.Duties & ResponsibilitiesManagement of end to end procurement including but not limited to:Development, presentation and implementation of sourcing strategies - including developing & maintaining workable alternatives and contingency plans to effectively mitigate risk for all projects with spend of $1m p.a. or higher.Develop & issue tenders to bidders & analyse tender results to make recommendations to BU's for supply contracts.Develop and execute appropriate supply contracts.Contract management of goods & service providers as well as maintaining supplier relationships.Management of documentation requirements, quality assurance processes, performance results and warranty registers as applicable.Implement and drive continuous improvement initiatives to ensure sustainable quality, process and cost reduction outputs.Collaborate with stakeholders to support relevant BU related continuous improvement initiatives.Develop, enhance, maintain and manage & maintain appropriate relationships with key internal and external stakeholders;Advise, support and negotiate on behalf of the BU where claims may be submitted for non-conformances.Skills & ExperienceEssentialPreparation of tender documentation and facilitating the tender process;Tender evaluation and recommendation;Contract drafting and approval;Procurement progress tracking.Experience with iron ore / bauxite / aluminum experience preferred, but not essential.Project procurement experience essential.DesirableA business/commercial qualification would be beneficial.CIPS Certificate or Diploma in Purchasing or Supply.Six Sigma Green Belt or higher.How to ApplyClick on the Apply NowFor further enquiries, please contact Juanique Liebenberg Recruitment Coordinator At WorkPac Professional, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. ","project procurement
new"
11,https://www.workpac.com/job/civil-labourer-36," Job description LabourerGeneral labourer required for bitumen road crew around the metro area.Tasks could include:General labouringGeneral clean up of the work areaUsing a blower vac on profiled areasUsing general tools (picks, shovels etc) around the work areas Must have a current industry White Card.Must also have a high regard for safety ","civil labourer
new"
12,https://www.workpac.com/job/tradesman-slash-plant-operator-shutdown," Job description Heavy vehicle auto electrician  3 Month role  8 hour Days Great ratesAbout the CompanyWorkPac is Australias leading, privately owned recruitment provider to the mining, construction, engineering, oil and gas and healthcare sectors. We are proud to partner with some of the countrys leading companies to deliver rewarding career opportunities. Register or apply with us for ongoing access to a wide range of temporary and permanent jobs for all skill levels. About the RoleWe are currently looking for Experienced Heavy vehicle auto electrician for a Fixed Plant in Tomago. These roles are based around the Tomago area in Newcastle. You will be responsible for maintaining the plant as well as planned and unplanned breakdowns and shutdowns. You must live locally as this position does not offer meals and accommodation.Duties General Maintenance AC and experience in the industrial heavy equipment tradeRequirements Trade Qualification Right to Work in Australia Have a current Drivers Licence Live in Newcastle or surrounds Clean shaven (site requirement)On-boarding ProcessCandidate please note that the on-boarding process for these roles will be structured and will be required to undertake  drug and alcohol testing. If you are not willing to undertake or complete these, you will not be considered for these roles. Please note that only the successful candidates progressing to the next stage will be contacted.How to ApplyClick on the Apply button or for more information please contact:Newcastle OfficeLisa Noble 0429592214 ","tradesman/plant operator - shutdown
new"
13,https://www.workpac.com/job/skilled-labourer-19," Job description                             Skilled Labourer  Job Highlights  Immediate Start  Competitive Pay-rate   About Our Clients Our clients focus is delivering traffic infrastructure and electrical reticulation projects throughout Queensland, servicing both metropolitan and regional areas.   About the Role WorkPac are seeking skilled labourers with relevant experience to assist with a short term project on the Sunshine Coast. This role is starting immediately and will be working Monday  Friday on Dayshifts, minimum 8 hour shifts. The successful candidate will be responsible for duties including Trade Assisting Electricians, operating small Hiabs utilising a Vehicle Crane License and manual labouring on site as required.    Duties & Responsibilities  Ability to lift heavy items  General housekeeping on the worksite  Utilising hand and power tools  Ability to work without supervision  Working apart of a team  Following directions always  Meeting strict safety standards   Skills & Experience  MUST have VLC (CV) crane ticket  Proven experience operating (small) HIABS  White/Blue Card  Current Drivers Licence with reliable transport  Current resume with 2 x work related referees  Available to commence immediately  A strong work ethic   Culture & Benefits   Opportunity to work with a reputable company  Weekly wages  Ongoing support from industry leaders in recruitment & candidate care   About WorkPac WorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, oil and gas and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding permanent, contract, temporary & traineeship recruitment opportunities   Apply Now Click onto the apply button. For more information contact: Trent - Recruitment Coordinator Phone Contact : 07 3621 2907 Email Contact : trent.passeri@workpac.com  Reference Number: BSINDJ2020105072   At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly & with respect. We are an Equal Opportunity employer & we encourage applications from women & Indigenous people                                                       ","skilled labourer
new"
14,https://www.workpac.com/job/trade-assistant-36," Job description Client requires a Trade Assistant for local project.Must have Working at Heights, Confined Space & Construction White CardBackground in fabrication or structural steel  ","trade assistant
new"
15,https://www.workpac.com/job/glass-cutter," Job description                             Glass Cutter  Job Highlights  Immediate Start  Competitive Pay-rate  Work through to Christmas    About the Client Based in North Brisbane, our client is a family owned Australian company that has been manufacturing vanities, tops, shower screens, wardrobes, mirrors and other bathroom products in Australia since 1969.   About the Role We are seeking an experienced Glass Cutter who can assist with a project focused around glass cutting duties.    Duties & Responsibilities  Bathroom vanity and materials production and processing  Cut 4mm silver mirror  Cut 4mm vinyl black mirror  Cut 6.38mm laminate glass  Other general glass cutting duties    Skills and Requirements  Have proven experience in glass cutting and processing  Have a current drivers licence   Be well presented and spoken  Have exceptional customer service skills  Be able to problem solve, work independently and unsupervised  Take the upmost pride in delivery and workmanship of our product and service  Be reliable and time flexible  Be a team player  Have excellent time management and organisation skills   About WorkPac WorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, light industrial and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding permanent, contract, temporary and traineeship recruitment opportunities.   Apply Now Click onto the apply button. For more information contact: Trent - Recruitment Coordinator Phone contact: (07) 3715 2020 Email contact : trent.passeri@workpac.com  Reference no. BSINDJ2020105131   At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people.                                                       ","glass cutter
new"
16,https://www.workpac.com/job/bench-hand," Job description About the RoleWe are seeking a Bench hand/Labourer to work a 5:2 roster FIFO to Emerald and then drive to Clermont.Must have experience in working as a Bench hand/Labourer assisting Drillers on site from heavy lifting to general hand on site and available for immediate start.Skills & Experience:- Coal Board Medical- Standard 11- D & A - Drivers Licence- National Police/ ASIO  Clearance- Pre Employment Medical- Fit Test- High levels of initiative and the ability to work well under pressureAbout WorkPacWorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, oil and gas and health care sectors. We are proud to partner with some of the country's leading companies to deliver rewarding career opportunities. WorkPac have over 35 offices throughout Australia, this means you have the flexibility to work anywhere in Australia with us. Apply with us for ongoing access to a wide range of temporary and permanent jobs for all skill levels.Apply NowClick on the apply button or for more information please contact:Joan - Recruitment CoordinatorPhone: (07) 4052 2235       About WorkPac   WorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, oil and gas and health care sectors. We are proud to partner with some of the country's leading companies to deliver rewarding career opportunities. WorkPac have over 35 offices throughout Australia, this means you have the flexibility to work anywhere in Australia with us. Apply with us for ongoing access to a wide range of temporary and permanent jobs for all skill levels.    Apply Now   Click on the apply button or for more information please contact:   Joan - Recruitment Coordinator Phone: (07) 4052 2235   At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. ","bench hand
new"
17,https://www.workpac.com/job/electrician-68," Job description Electrician Job Highlights - Night Shift Consistent hours CBD Based Project About the Client -Our client is a Leading Electrical Contractor with projects across Commercial, Construction and Industrial areas. We are seeking Electricians with Pyro Cabling experience for a Night Shift project in the Brisbane CBD commencing soon. About the Role -You will be a versatile Electrician looking to work alongside a positive and hard working team. With experience across a variety of sectors, you will have skills in the installation and termination of PYRO Cables in Commercial environments. This role will be Nightshift based. Duties and Responsibilities -Installation and termination of PYRO Cabling Cable hauling/pulling Installation of Cable Tray / Brackets Skills & Experience/Qualifications -You must hold a valid Electrical Licence, LVR/CPR & White CardPYRO experience Ability to work Nigh Shift Culture & BenefitsNight Shift Rate Consistent work Safety and Team driven environmentWhy work for WorkPac?WorkPac is Australia's lading, privately owned recruitment provider to the mining, construction, engineering, light industrial and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding permanent, contract, temporary and traineeship recruitment opportunities.To be considered for the role please apply via the link with an updated CV.Apply Now!Rob Phone - 0400 442 035Job Order Reference : BSINDJ2020105132At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people ","electrician
new"
18,https://www.workpac.com/job/skilled-labourer-18," Job description Skilled Labourer$30/hr + penaltiesMonday - Friday: Full time hoursOngoing role for right candidateAbout the RoleOur client is seeking a Skilled Labourer on a project based in Gunnedah. There is going work available for the right candidate.DutiesGeneral Labouring dutiesCarpentry duties (project is a new build at a school)Working outdoorsSkills and ExperienceEWP ticket an advantageMust have white cardDrivers Licence & Own reliable transportPrevious Carpentry experience desirableAbility to communicate and work within a teamHard working with a positive attitudeAbout WorkPacWorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, light industrial and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding permanent, contract, temporary and traineeship recruitment opportunities.Apply NowClick on the Apply button or for more information please contact:Recruiter Name: Katie PatrickPosition: Recruitment CoordinatorOffice location: GunnedahContact number: 02 6741 8702Job Reference: 7212J202014656At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. ","skilled labourer
new"
19,https://www.workpac.com/job/driller-27," Job description Job Highlights8/6 : 7/7 rosterFIFO options from Perth. Busselton is subject to availabilityOngoing positionAbout our Client? Rio Tinto operates the world???s largest integrated portfolio of iron ore assets. These assets include a world-class, integrated network of 15 iron ore mines, four port facilities, a 1,700 kilometre rail network and related infrastructure. Rio Tinto are expanding operations in the Pilbara to epic proportions while introducing next generation technologies to deliver greater efficiency, lower production costs and improved health, safety and environmental performance.About the RoleWorkPac has a number of employment opportunities across a variety of Rio Tinto Iron Ore mine sites located in the Pilbara for experienced blast hole drillers.As a key member of a high performing team, you will play an integral role in implementing our client's production requirements.Skills and ExperiencePossess a high regard for the safety of yourself and others12 months + Blast Hole drilling experienceManual C Class Australian issued Drivers Licence (minimum)Operational knowledge of 1 or more of the following drill machines is required:Atlas Copco Pit Viper 271 or 275Atlas Copco D65Terex SKF seriesSandvik DR580Cubex 920About WorkPacWorkPac is Australia???s leading, privately owned recruitment provider to the mining, construction, engineering, light industrial and healthcare sectors.?  We are proud to partner with some of the country???s leading companies to deliver rewarding permanent, contract, temporary and traineeship recruitment opportunities.Apply NowClick onto the apply button.?  For more information contact:Ruth Pop- Recruitment CoordinatorPhone contact:?  9201 6206Email: ruth.pop@workpac.comWorkPac - Western OperationsReference no:? TMPRIJ202057630At WorkPac, we recognise we are strengthened by diversity.?  We are committed to providing a work environment in which everyone is included, treated fairly and with respect.?  We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. ","driller
new"
20,https://www.workpac.com/job/plant-operators-1," Job description                              $67.00 p/hr   4 month assignment  3:1 roster  About the Company WorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, oil and gas and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding career opportunities. Register or apply with us for ongoing access to a wide range of temporary and permanent jobs for all skill levels.   About the Role WorkPac is currently seeking experienced Excavator Operators for 3:1 FIFO construction assignment. Successful candidates must have 12+ months experience operating from 40+ tonne machines doing benching and bulk loading of dump trucks in civil, construction or mining sectors. This project is for a mine site extension with a completion date of approximately February 2021.   Job/ Site information: 3:1 FIFO Roster 1.5 hour flight from Perth Thursday flying days Mine site extension project Currently day shift only  Ticket/Expe                                                      ","plant operators
new"
21,https://www.workpac.com/job/factory-hands-1," Job description Job HighlightsShort term work â 2 days 12th & 13th October $27.14 per hour Bayswater location About the RoleOur client is currently seeking 2 factory hands to unload a sea container at their Bayswater warehouse, this is very physical work so you must be physically fit to unload ply sheets. Work is for 8 hours with 1/2 hour unpaid break. This is over 2 x days on 12th Oct to 13th October.Skills and ExperiencePrevious labouring experience essential White card Drivers Licence Rights to work in Australia About WorkPacWorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, light industrial and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding permanent, contract, temporary and traineeship recruitment opportunities.Apply NowClick onto the apply button. For more information contact:Kristin De Souza - 08 6462 1118Western RegionReference Number: 764J202070189At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. ","factory hands
new"
22,https://www.workpac.com/job/civil-labourer-35," Job description Job HighlightsImmediate start40 hour weeks Ongoing workAbout the RoleOur client is currently seeking an experienced civil labourer to work on civil sites around the Perth metro area. You will commence at the workshop in Malaga each day and travel in a team out to the work site. Skills and ExperiencePrevious civil labouring experience essential White card Drivers Licence Rights to work in Australia About WorkPacWorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, light industrial and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding permanent, contract, temporary and traineeship recruitment opportunities.Apply NowClick onto the apply button. For more information contact:Kristin De Souza - 08 6462 1118Western RegionReference Number: 764J202070185At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. ","civil labourer
new"
23,https://www.workpac.com/job/regional-hse-advisor," Job description Job Highlights:Permanent Role Monday to Friday 38hr Week Welshpool Base About the Role:WorkPac are seeking an experienced Health, Safety and Environment Advisor to provide support for the implementation of the Regional and National HSE strategy and programs. The role will require professional engagement with all of our client's regional branches and operational units including HSE advice, conducting investigations and conducting training to employees contractors and customers. The role will be predominantly Welshpool based with occasional travel to regional branches. The successful applicant will possess the following; Ability to work independently and effectively in a team.Possess a high level of self-motivation and time management capability. Proven problem solving capability.Possess a consultative approach to the implementation of HSE policies and procedures.Possess a desire for continual improvement.Demonstrated tenacity to overcome obstacles and/or to complete tasks.Ability to pursuing excellence in line with the organisation???s norms and values.Ability to focusing attention on key objectives.Minimum Requirements: WA C Class Drivers Licence Minimum 5 years experience in workplace health and safety.Tertiary qualification in occupational health and safety or comparable discipline.Desirable Criteria:Certificate IV in Workplace Training and Assessment Risk Management qualificationAccident Investigation qualification Return to Work CoordinatorAbout WorkPac:WorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, oil and gas and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding career opportunities. Looking after our employees is important to us. Through our myrewards platform, we offer benefits from retail rewards through to financial, health cover, insurance, superannuation services and more.How to Apply:Click onto the apply button. For more information contact:Jaymie-Lee Garland- Recruitment CoordinatorPh: 0892016201WorkPac- Western Recruitment Reference: 764J202070197At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. ","regional hse advisor
new"
